Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Cayman Islands	CYM	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																																																										
Cyprus	CYP	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															15.652803					15.01753738					15.18862853					14.52480478					15.39468129	15.23383823	15.09295395	16.28787754	17.23243342	17.89852069	17.86639632	
Czech Republic	CZE	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															37.13460876					26.60324943					20.98911157					19.28882524					20.21337971	19.78878809	18.72439615	19.80289285	20.59744294	19.26133829	19.17869055	
Germany	DEU	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															17.45020402					15.19721145					14.08351833					13.38973409					13.70080248	13.67664135	13.29677582	13.65809	13.86757086	13.47877046	13.45779609	
Djibouti	DJI	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															46.47748608					46.82208745					49.83958915					43.16293962					45.38485761	48.43764838	52.31922362	51.22650686	50.87220272	71.0906143	71.70929766	
Dominica	DMA	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															17.8223952					18.03534751					17.93326719					16.61421105					14.1285238	14.35882046	14.22729619	14.11124235	13.65825757	16.78668336	16.87333694	
Denmark	DNK	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															12.85543606					11.69269783					10.9572045					10.38119819					10.42061374	10.26972801	10.05907321	10.34388323	10.67712133	10.36485237	10.32874421	
Dominican Republic	DOM	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															20.78255656					20.86861838					29.68920369					21.31152335					21.13667286	16.91944769	23.13019687	24.14629265	17.81656556	23.03187392	23.69819597	
Algeria	DZA	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															34.02375382					33.39808007					32.21159108					28.43443097					26.7093491	27.49707477	28.20943917	31.00985419	33.0806268	37.03572791	37.23095588	
East Asia & Pacific (excluding high income)	EAP	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															41.05649649					41.68132553					42.93854484					46.8560336					46.59398957	45.88454056	46.10221838	45.97061541	46.67429113	45.57948371	45.48638831	
Early-demographic dividend	EAR	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															48.41690837					48.52451011					49.52985576					51.30695708					50.99940702	50.96956035	52.13711231	53.97559544	55.00651638	60.70343994	61.05770377	
East Asia & Pacific	EAS	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															38.1742925					38.81494513					40.0389196					43.68081725					43.38382383	42.68906974	42.9344086	42.88109146	43.58427333	42.66491235	42.59346063	
Europe & Central Asia (excluding high income)	ECA	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															29.44805747					23.49913758					22.27669661					20.1514018					23.19616244	22.76076957	22.26645007	23.13446987	24.00132364	25.18944746	25.33591369	
